name,lat,long
Bivio,45.344706,14.358330
DječjaBolnica,45.342029,14.369547
BazeniKantrida,45.341477,14.373534
Kantrida,45.339787,14.381785
Luburnijska-VereBratonje,45.339963,14.387068
3.maj,45.339569,14.392679
KrnjevoLiburnijska,45.338741,14.400184
KrnjevoZvonimirova,45.338536,14.404024
Torreta,45.338107,14.410067
NoviList,45.336005,14.416885
Mlaka,45.333446,14.423053
KBCRijeka,45.331422,14.426204
ŽeljezničkiKolodvor,45.330454,14.431210
Brajda,45.329579,14.434187
Žabica,45.327305,14.437832
Riva,45.326431,14.440118
Tržnica,45.324961,14.444009
Fiumara,45.326748,14.447178
Piramida-Pećine,45.324164,14.454580
OŠPećine,45.321435,14.459878
HotelJadran,45.319338,14.463496
HotelPark,45.316880,14.468074
PećinePlumbum,45.314203,14.473165
MarčeljevaDraga,45.346156,14.364697
MateBalote,45.345418,14.367401
Ploče,45.344419,14.370942
Šparići,45.343803,14.373565
OŠKantrida,45.342567,14.377643
Labinska,45.341834,14.380462
JelačićevTrg,45.325515,14.445621
Kumičićeva,45.322562,14.460895
DGervaisa3,45.321398,14.464486
DGervaisa2Market,45.319550,14.468654
DGervaisa1VulkNaselje,45.318472,14.470863
Radnička,45.319201,14.471973
OŠVežica,45.321020,14.471895
PodvežicaCentar,45.320826,14.474798
ZdravkaKučićaIII,45.323689,14.475591
KBCSušak,45.325431,14.471222
Mihanovićeva,45.323650,14.465383
DrageŠćitara,45.326137,14.462209
ParkHeroja,45.328608,14.459147
Trsat,45.330042,14.459445
PutBožeFelkera,45.330828,14.464525
JosipaKulfaneka,45.332191,14.464595
SlavaRaškaj,45.333443,14.465549
Strmica,45.334340,14.464267
Srdoči,45.355545,14.368895
Blečići,45.353292,14.369329
Martinkovac,45.353584,14.364896
Dražice,45.350083,14.370159
Diračje,45.347042,14.378221
IĆikovićaBelog,45.346079,14.381586
ZametCentar,45.344590,14.386633
Baredice,45.343524,14.392304
Zametska,45.341569,14.395762
Piramida,45.324378,14.454473
TetaRoža,45.322417,14.464816
Mihanovićeva,45.323646,14.465251
Pošta,45.324182,14.462041
Paris,45.325472,14.458695
JRakovca,45.327080,14.456701
Vidikovac,45.328157,14.455405
TrsatCrkva,45.331242,14.456942
IvanaZavidića,45.346861,14.371566
BožeVidasa,45.345372,14.377241
ZametTržnica,45.344099,14.381242
ZametCrkva,45.343948,14.383730
Zamet-BožeVidasa,45.344126,14.387598
RBenčić,45.337076,14.419008
TehničkiFakultet,45.336694,14.424567
Štranga,45.335027,14.426394
Potok,45.333210,14.430534
Delta,45.324740,14.447781
Bezjaki,45.363574,14.381725
TrampovBreg,45.360927,14.386098
Pužići,45.358030,14.386674
Mulci,45.354988,14.388891
Drnjevići,45.352600,14.391551
Pilepići,45.349215,14.391078
Fantini,45.348820,14.387354
BraćeMohorić,45.346556,14.388359
Zamet-BraćeMonjac,45.344636,14.388949
Grbci,45.351294,14.381361
Starci,45.349784,14.383068
ZametGroblje,45.348522,14.385522
NovaCesta-BMohorić,45.345404,14.392425
Becićeva,45.343870,14.395400
Manzzonijeva,45.330394,14.432829
FIGuardie,45.330834,14.433869
PomerioPark,45.330088,14.439953
ŽrtavaFašizma,45.328995,14.442486
NoviMost,45.326728,14.448036
Brašćine,45.342174,14.440996
Kozala-DrenovskiPut,45.338151,14.444903
Kapitanovo,45.335447,14.446492
AnteKovačića,45.332625,14.445966
KozalaGroblje,45.332823,14.442525
Laginjina,45.332539,14.439106
VrhPulca,45.348152,14.444400
PulacII,45.346788,14.446307
PulacI,45.345601,14.444821
GalenskiLaboratorij,45.343971,14.443230
InternacionalniBrigada,45.342422,14.443179
SvKatarinaI,45.341362,14.445301
SvKatarinaII,45.339912,14.450135
SvKatarina,45.339831,14.451999
Drenova,45.356917,14.424773
Frkaševo,45.355964,14.426747
BraćeHlača,45.354261,14.426222
OŠFFranković,45.351880,14.430228
Severinska,45.347326,14.433983
Bok,45.346751,14.432515
ILRibara-IŽorža,45.348512,14.426791
StaroOkretište,45.350414,14.423616
ILRibara-MRustambega,45.350791,14.421885
ILRibara-SVukelića,45.352218,14.419173
OsječkaCrkva,45.351937,14.418129
OsječkaDražnička,45.350067,14.419379
OsječkaZaobilaznica,45.344915,14.423098
OsječkaLipa,45.342808,14.424018
Osječka-CIlijassich,45.340451,14.426366
Osječka-MihačevaDraga,45.339858,14.427375
Osječka-FKresnika,45.337420,14.432210
1mala,45.334313,14.433298
NikoleTesle,45.331429,14.430867
Benaši-BFrancetića,45.360184,14.426562
BFrancetića-Pešćevac,45.361726,14.424730
BFrancetića-Tonići,45.363190,14.423127
BFrancetića,45.365018,14.419479
KablarskaCesta,45.367802,14.416608
Kablari,45.368385,14.413660
Petrci,45.368956,14.405935
Petrci-Blažići,45.369951,14.397932
PetrciI,45.369873,14.399628
Stupar2Bakardi,45.366486,14.399671
Tibljaši,45.366591,14.402739
ŠkurinjskaCestaII,45.363678,14.409249
ŠkurinjeSpomenik,45.362875,14.411309
ŠkurinjskaCestaI,45.357671,14.4144260
ŠkurinjeŠkola,45.354747,14.416240
KrnjevoNN,45.342711,14.397376
NovaCesta,45.340826,14.401731
Turnić,45.340379,14.407908
Čandekova,45.339056,14.415581
StudentskiDom,45.338067,14.419729
Kvaternikova,45.322163,14.464763
KvaternikovaTihovac,45.320715,14.468244
Podvežica,45.319520,14.478067
Turkovo,45.359190,14.397145
Pehlin3Pošta,45.354457,14.403187
Pehlin1Minakovo,45.351063,14.406796
Rujevica,45.344697,14.412250
Podmurvice,45.342050,14.414415
VukovarskaSpom,45.339535,14.419268
SvetaAna,45.325961,14.476791
FranjeBelulovića,45.323457,14.479545
GVežica,45.322166,14.482650
Hosti,45.353392,14.399361
UlHosti,45.352168,14.402436
PehlinDjVrtić,45.350716,14.405700
Blažićevo,45.348118,14.408776
RPetrovićaI,45.324034,14.479923
RPetrovićaII,45.323143,14.483725
SvKriž,45.324061,14.483188
Torpedo,45.335503,14.404314
BaračevaII,45.335352,14.409081
BaračevaI,45.334138,14.416270
TitovTrg,45.327193,14.447692
HZZ,45.326270,14.451060
MažuranićevTrg,45.326290,14.453877
Bobijevo,45.327267,14.452549
Vodosprema,45.326945,14.454574
TrsatGroblje,45.328406,14.462216
Kampus1SvAvenija,45.328812,14.465677
Kampus,45.328217,14.468694
Grohovo,45.364280,14.441733
Pašac2Centar,45.354530,14.455590
Pašac1Križanje,45.350151,14.458385
BaldaFućka,45.344383,14.460451
GornjaOrehovica,45.341757,14.465376
DonjaOrehovica,45.337328,14.468237
BanskaVrata,45.331891,14.453450
KBC3Poliklinika,45.332657,14.430789
Kampus2RMatejčić,45.328687,14.467738
